Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
Associate Researcher (Clinical Development Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943017
Associate Research Scientist (Antimicrobial Resistance Department) [based in Seoul],International Vaccine Institute (IVI),,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943015
(Senior) Business and Data Analyst,European Investment Bank (EIB),Luxembourg,Full-time,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53942797
Senior Researcher on Artificial Intelligence - Team Lead (P3),United Nations University (UNU),Macao,Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53936305
Researcher - Data Science (PSA contract),United Nations University (UNU),Macao,Consultancy,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53936304
"VN 2023 33 Business Transformation Officer (Data Migration Execution and Test) (P3) Manila, Philippines",International Organization for Migration (IOM),Manila (Philippines),Mid-level Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53935895
"Web App Developer (National Consultant) Application Development, Programming, Web App",International Rice Research Institute (IRRI),Philippines,Locallly Recruited,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53928725
INFORMATION SYSTEMS OFFICER,United Nations Joint Staff Pension Fund (UNJSPF),New York (United States),Mid-level Professional,Posted 1 week ago,Close on 23 Mar 2023,https://www.unjobnet.org/jobs/detail/53926394
Information Systems Assistant,United Nations Secretariat (UN),New York (United States),Associate,Posted 1 week ago,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/53926390
Information Management Officer,Danish Refugee Council (DRC),Warsaw (Poland),,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53925364
Director of Economic Evaluation & Research,International Rescue Committee (IRC),Colombia,Full-time,Posted 1 week ago,Close on 1 Sep 2023,https://www.unjobnet.org/jobs/detail/53923186
Database Intern - Application Deadline : ongoing,United Nations High Commissioner for Refugees (UNHCR),Toronto (Canada),Internship,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53923111
Consultant - EiE Data and System Strengthening - Evidence and learnings,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Paris (France),Consultancy,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53918727
Senior Research Scientist,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Trieste (Italy),Mid-level Professional,Posted 1 week ago,Close on 9 Mar 2023,https://www.unjobnet.org/jobs/detail/53918726
Data and Knowledge Scientist(s),Organisation for Economic Co-operation and Development (OECD),Paris (France),,Posted 1 week ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/53916199
Thematic Researcher,Amnesty International,,,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53912535
Researcher/Adviser Racial Justice,Amnesty International,United KingdomIreland,,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53912534
Product Management Consultant for UNFPA App,United Nations Development Programme (UNDP),Turkey,,Posted 1 week ago,Closing soon: 22 Feb 2023,https://www.unjobnet.org/jobs/detail/53909607
"NATIONAL POST: GBV Information Management Analyst, Mogadishu Somalia [NOA]",United Nations Development Programme (UNDP),Mogadishu (Somalia),Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53909602
National Consultant on Gender Statistics,United Nations Development Programme (UNDP),Tirana (Albania),Consultancy,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53909601
Agricultural Survey Statistician (Technical Assistance and Training),Food and Agriculture Organization (FAO),Rome (Italy),Consultancy,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53908687
"IT Officer, Business Solutions - Application Architecture II - Information Technology",International Finance Corporation (IFC),Sofia (Bulgaria),,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53908475
Risk Information System Manager,Action contre la Faim,Madrid (Spain),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53908054
Front End Web Developer,United Nations Global Service Center (UNGSC),Valencia (Spain),,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53905560
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research and Development Analyst (NPSA8),United Nations Development Programme (UNDP),Lagos (Nigeria),Full-time,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53904975
IT Operations Officer - Emergency Preparedness & Response (EPR) (NOA),World Food Programme (WFP),Egypt,Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53904685
Global Digital Fundraising Specialist,Action Aid International (Action Aid),Johannesburg (South Africa),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53903994
"Spezialist*in Data Strategy in der Abteilung Methoden, Digitale Transformation und Innovation - ICT and Digitalisation",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Eschborn (Germany),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53903827
Head of Section (Education in Administrative Data) [Re-advertisement],"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Montreal (Canada),Chief and Senior Professional,Posted 1 week ago,Close on 20 Mar 2023,https://www.unjobnet.org/jobs/detail/53902602
Head of Section (Research and Innovation in Monitoring Education) [Re-advertisement],"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Montreal (Canada),Chief and Senior Professional,Posted 1 week ago,Close on 20 Mar 2023,https://www.unjobnet.org/jobs/detail/53902601
Senior Regional Advisor (Statistics) [Re-advertisement],"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Dakar (Senegal),Chief and Senior Professional,Posted 1 week ago,Close on 20 Mar 2023,https://www.unjobnet.org/jobs/detail/53902600
Baseline Survey Specialist,Food and Agriculture Organization (FAO),Banjul (Gambia),Consultancy,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53901941
"Innovation Manager (Data and Business Solutions), P4 (Post # 123375) UNICEF Global Shared Services Centre (GSSC), Budapest, Hungary (Not for Hungarian nationals)",United Nations Children's Fund (UNICEF),Budapest (Hungary),Mid-level Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53898837
"Business Transformation Officer (Regional Data Coordinator) NOB, Regional Bureau Cairo",World Food Programme (WFP),Egypt,Entry Professional,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53897979
"Technical Officer (Surveillance), P-2, Fixed-Term, Manila, Philippines (Two Posts)",World Health Organization (WHO),Manila (Philippines),Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53897503
Senior Researcher on Ethics of AI - Team Lead (P3),United Nations University (UNU),Macao,Mid-level Professional,Posted 1 week ago,Close on 8 Mar 2023,https://www.unjobnet.org/jobs/detail/53893694
Field Research Assistant-Assistant,International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),,Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53891933
"Epidemiologist, Research Associate, Haiti","The Clinton Health Access Initiative, Inc. (CHAI)",Haiti,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53888514
Information management/policy and data officer (Temporary Job opening) [Temporary],United Nations Secretariat (UN),New York (United States),Mid-level Professional,Posted 1 week ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/53883783
INFORMATION SYSTEMS OFFICER,United Nations Joint Staff Pension Fund (UNJSPF),New York (United States),Mid-level Professional,Posted 1 week ago,Close on 22 Mar 2023,https://www.unjobnet.org/jobs/detail/53883782
Spezialist*in für IT-Revision - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Eschborn (Germany),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53882048
Fullstack Software Engineer,The North Atlantic Treaty Organization (NATO),The Hague (Netherlands),Full-time,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53879926
Clinical Research Manager III,FHI 360,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53876506
INFORMATION MANAGEMENT ASSISTANT [Temporary],United Nations Secretariat (UN),New York (United States),Associate,Posted 1 week ago,Closing soon: 19 Feb 2023,https://www.unjobnet.org/jobs/detail/53872327
INFORMATION SYSTEMS OFFICER (Temporary Job Opening) [Temporary],The United Nations Office at Geneva (UNOG),Geneva (Switzerland),Mid-level Professional,Posted 1 week ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/53872322
"CHIEF OF SECTION, ENGINEERING",United Nations Department of Operational Support (UN DOS),New York (United States),Chief and Senior Professional,Posted 1 week ago,Close on 22 Mar 2023,https://www.unjobnet.org/jobs/detail/53872313
ICT Senior Assistant,United Nations Office for Project Services (UNOPS),Gao (Mali),General Support,Posted 1 week ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/53871230
Analyst Developer (TMA),International Criminal Police Organization (Interpol),Lyon (France),,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53869637
EOI - Graphic Design Services to support the preparation of publications - SNDR,African Development Bank (AFDB),,Consultancy,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53865339
"Consultant, Data Analyst",International Federation of Red Cross and Red Crescent Societies (IFRC),Hungary,,Posted 1 week ago,Closing soon: 17 Feb 2023,https://www.unjobnet.org/jobs/detail/53865334
Intern - Data Science and Machine Learning [Temporary],United Nations Economic and Social Commission for Western Asia (UNESCWA),Beirut (Lebanon),Intern,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53863079
INTERN - DATA AND KNOWLEDGE MANAGEMENT [Temporary],United Nations Human Settlements Programme (UN-HABITAT),Nairobi (Kenya),Intern,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53863077
"Research Fellow - Capacity Building Specialist, UNU-IIGH",United Nations University (UNU),Kuala Lumpur (Malaysia),Scholarship/Fellowship,Posted 1 week ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/53862510
ICT Assistant,United Nations Development Programme (UNDP),Juba (South Sudan) Sudan,General Support,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53862509
"Information Management Officer (Logistics Cluster) SC8 | Dnipro, Ukraine",World Food Programme (WFP),Dnipro (Ukraine),Entry Professional,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53862216
"Information Management Officer (Logistics Cluster) SC9 | Kyiv, Ukraine",World Food Programme (WFP),Kyiv (Ukraine),Entry Professional,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53862215
Engineer NOB,World Food Programme (WFP),Sierra Leone,Entry Professional,Posted 1 week ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/53862214
Sachbearbeiter*in im IT-Support für Lernmanagementsysteme - ICT and Digitalisation,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Bonn (Germany),Full-time,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53861364
Scientist (Implementation Research),World Health Organization (WHO),Geneva (Switzerland),Mid-level Professional,Posted 1 week ago,Closing soon: 27 Feb 2023,https://www.unjobnet.org/jobs/detail/53859601
ICT and Events Manager,United Nations Office for Project Services (UNOPS),Riyadh (Saudi Arabia),Mid-level Professional,Posted 1 week ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/53855349
IFC Global Internship Program (7) - ESG Data Science Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844379
IFC Global Internship Program (46) - Data Models and Integrations Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844371
IFC Global Internship Program (44) - Profitability Data Analysis Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844369
Other,World Bank,Cairo (Egypt),,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844361
IFC Global Internship Program (30) - IT Business Architecture Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844354
IFC Global Internship Program (29) - Graphic Design MCT & Europe Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844352
IFC Global Internship Program (28) - Compliance & Accountability Research Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844351
"IFC Global Internship Program (22) - Data Science, Impact Investment Internship - Other",International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844345
IFC Global Internship Program (19) - Market Research Support Intern for FIG MCT - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844341
IFC Global Internship Program (18) - Food Safety and Food Loss Event Coordination Internship - Other,International Finance Corporation (IFC),New Delhi (India),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844340
IFC Global Internship Program (13) - Economic Impact and Research Internship - Other,International Finance Corporation (IFC),Washington DC (United States),Internship,Posted 1 week ago,Close on 6 Mar 2023,https://www.unjobnet.org/jobs/detail/53844335
